CompanyIN;LegalFormID;LegalFormName;EmployeeLowerBound;ActivityScore;NaceCode;Nace;NaceSectionCode;NaceSection
2308525;105;Fyz.osoba ost.;NULL;20;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
2358093;112;Společnost s r.o.;1;5;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
2368838;112;Společnost s r.o.;10;73;47710;[47710] Maloobchod s oděvy;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2409267;112;Společnost s r.o.;NULL;28;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
2437562;112;Společnost s r.o.;NULL;38;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
2468212;112;Společnost s r.o.;NULL;40;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
2487179;112;Společnost s r.o.;1;38;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
2586053;112;Společnost s r.o.;1;86;4778;[4778] Ostatní maloobchod s novým zbožím ve specializ. prodejnách;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2695936;112;Společnost s r.o.;1;55;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2701065;112;Společnost s r.o.;1;58;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2887479;101;Fyz. os. podnikající dle živ. zákona;0;40;96040;[96040] Činnosti pro osobní a fyzickou pohodu;S;[S] Ostatní činnosti
2917327;421;Odšt.záv.zahr.práv.os.;20;86;47710;[47710] Maloobchod s oděvy;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2985730;112;Společnost s r.o.;1;82;4540;[4540] Obchod, opravy, údržba motocyklů, jejich dílů, příslušenství;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
3054969;112;Společnost s r.o.;1;76;74200;[74200] Fotografické činnosti;M;[M] Profesní, vědecké a technické činnosti
3055671;112;Společnost s r.o.;1;8;58140;[58140] Vydávání časopisů a ostatních periodických publikací;J;[J] Informační a komunikační činnosti
3061523;145;Společen.vlast.jednot.;NULL;22;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
3084051;112;Společnost s r.o.;NULL;56;13;[13] Výroba textilií;C;[C] Zpracovatelský průmysl
3084051;112;Společnost s r.o.;NULL;56;13;[13] Výroba textilií;C;[C] Zpracovatelský průmysl
3085970;112;Společnost s r.o.;1;93;45200;[45200] Opravy a údržba motorových vozidel, kromě motocyklů;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
3102718;112;Společnost s r.o.;NULL;8;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
3161412;121;Akciová společnost;10;86;77400;[77400] Leasing duš.vlastnictví, kromě děl chráněn.autorským právem;N;[N] Administrativní a podpůrné činnosti
11237244;101;Fyz. os. podnikající dle živ. zákona;0;58;74200;[74200] Fotografické činnosti;M;[M] Profesní, vědecké a technické činnosti
11303794;105;Fyz.osoba ost.;NULL;9;7490;[7490] Ostatní profesní, vědecké a technické činnosti j. n.;M;[M] Profesní, vědecké a technické činnosti
12501557;101;Fyz. os. podnikající dle živ. zákona;0;46;10;[10] Výroba potravinářských výrobků;C;[C] Zpracovatelský průmysl
13141945;101;Fyz. os. podnikající dle živ. zákona;0;40;NULL;NULL;NULL;NULL
25389092;121;Akciová společnost;100;100;92000;[92000] Činnosti heren, kasin a sázkových kanceláří;R;[R] Kulturní, zábavní a rekreační činnosti
25400509;112;Společnost s r.o.;NULL;5;46720;[46720] Velkoobchod s rudami, kovy a hutními výrobky;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25403681;112;Společnost s r.o.;1;56;96;[96] Poskytování ostatních osobních služeb;S;[S] Ostatní činnosti
25422618;112;Společnost s r.o.;6;79;47710;[47710] Maloobchod s oděvy;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25624253;112;Společnost s r.o.;NULL;40;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
25636804;112;Společnost s r.o.;25;86;46460;[46460] Velkoobchod s farmaceutickými výrobky;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25639561;112;Společnost s r.o.;1;55;4399;[4399] Ostatní specializované stavební činnosti j. n.;F;[F] Stavebnictví
25644394;121;Akciová společnost;NULL;9;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25655507;112;Společnost s r.o.;NULL;75;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25667441;112;Společnost s r.o.;25;98;70100;[70100] Činnosti vedení podniků;M;[M] Profesní, vědecké a technické činnosti
25675061;112;Společnost s r.o.;NULL;22;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25689967;112;Společnost s r.o.;NULL;22;68320;[68320] Správa nemovitostí na základě smlouvy nebo dohody;L;[L] Činnosti v oblasti nemovitostí
25689967;112;Společnost s r.o.;NULL;22;68320;[68320] Správa nemovitostí na základě smlouvy nebo dohody;L;[L] Činnosti v oblasti nemovitostí
25702050;112;Společnost s r.o.;50;68;10720;[10720] Výroba sucharů a sušenek, trvanlivých cukrářských výrobků;C;[C] Zpracovatelský průmysl
25709623;121;Akciová společnost;10;78;82200;[82200] Činnosti zprostředkovatelských středisek po telefonu;N;[N] Administrativní a podpůrné činnosti
25710257;112;Společnost s r.o.;250;98;46490;[46490] Velkoobchod s ostatními výrobky převážně pro domácnost;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25722174;112;Společnost s r.o.;200;99;52290;[52290] Ostatní vedlejší činnosti v dopravě;H;[H] Doprava a skladování
25770055;112;Společnost s r.o.;10;98;49391;[49391] Meziměstská pravidelná pozemní osobní doprava;H;[H] Doprava a skladování
25770438;112;Společnost s r.o.;6;93;62010;[62010] Programování;J;[J] Informační a komunikační činnosti
25775901;112;Společnost s r.o.;NULL;47;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25792849;112;Společnost s r.o.;NULL;38;683;[683] Činnosti v oblasti nemovitostí na zákl. smlouvy nebo dohody;L;[L] Činnosti v oblasti nemovitostí
25795155;112;Společnost s r.o.;NULL;38;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
25799967;112;Společnost s r.o.;NULL;55;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
46355901;121;Akciová společnost;10;64;64999;[64999] Jiné finanční zprostředkování j. n.;K;[K] Peněžnictví a pojišťovnictví
46900829;121;Akciová společnost;100;98;71201;[71201] Zkoušky a analýzy vyhrazených technických zařízení;M;[M] Profesní, vědecké a technické činnosti
47108665;101;Fyz. os. podnikající dle živ. zákona;1;40;49410;[49410] Silniční nákladní doprava;H;[H] Doprava a skladování
47108665;101;Fyz. os. podnikající dle živ. zákona;1;40;49410;[49410] Silniční nákladní doprava;H;[H] Doprava a skladování
47114983;301;Státní podnik;10000;100;53100;[53100] Základní poštovní služby poskyt. na základě poštovní licence;H;[H] Doprava a skladování
47114983;301;Státní podnik;10000;100;53100;[53100] Základní poštovní služby poskyt. na základě poštovní licence;H;[H] Doprava a skladování
47115602;112;Společnost s r.o.;1;5;46120;[46120] Zprostředkování VO, VO v zastoupení s palivy, rudami, kovy;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
47116102;121;Akciová společnost;500;98;64190;[64190] Ostatní peněžní zprostředkování;K;[K] Peněžnictví a pojišťovnictví
47124458;112;Společnost s r.o.;NULL;0;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
65222571;101;Fyz. os. podnikající dle živ. zákona;0;47;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
65278542;112;Společnost s r.o.;NULL;5;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
65737415;105;Fyz.osoba ost.;0;20;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
66004985;105;Fyz.osoba ost.;0;9;75000;[75000] Veterinární činnosti;M;[M] Profesní, vědecké a technické činnosti
66207690;105;Fyz.osoba ost.;1;38;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
66233275;105;Fyz.osoba ost.;0;28;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
66235332;105;Fyz.osoba ost.;0;22;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
66245524;424;Zahr.fyzická osoba;NULL;9;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
66257743;105;Fyz.osoba ost.;0;9;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
71343113;101;Fyz. os. podnikající dle živ. zákona;NULL;56;32990;[32990] Ostatní zpracovatelský průmysl j. n.;C;[C] Zpracovatelský průmysl
71346872;105;Fyz.osoba ost.;1;40;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
71446010;105;Fyz.osoba ost.;0;47;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
71448101;105;Fyz.osoba ost.;1;34;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
71463526;105;Fyz.osoba ost.;1;40;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
71649468;105;Fyz.osoba ost.;1;50;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
71981161;101;Fyz. os. podnikající dle živ. zákona;0;40;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
71981161;101;Fyz. os. podnikající dle živ. zákona;0;40;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
72482737;101;Fyz. os. podnikající dle živ. zákona;NULL;56;14;[14] Výroba oděvů;C;[C] Zpracovatelský průmysl
1452126;112;Společnost s r.o.;50;80;52240;[52240] Manipulace s nákladem;H;[H] Doprava a skladování
1460048;112;Společnost s r.o.;6;38;46770;[46770] Velkoobchod s odpadem a šrotem;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
1490583;101;Fyz. os. podnikající dle živ. zákona;0;40;93190;[93190] Ostatní sportovní činnosti;R;[R] Kulturní, zábavní a rekreační činnosti
1493574;112;Společnost s r.o.;6;38;22;[22] Výroba pryžových a plastových výrobků;C;[C] Zpracovatelský průmysl
1494759;112;Společnost s r.o.;1;28;86220;[86220] Specializovaná ambulantní zdravotní péče;Q;[Q] Zdravotní a sociální péče
1511190;112;Společnost s r.o.;1;76;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
1578138;101;Fyz. os. podnikající dle živ. zákona;0;50;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
1614606;112;Společnost s r.o.;10;58;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
1663976;118;Nadační fond;NULL;50;9499;[9499] Činnosti ost. organizací za účelem prosaz. spol.zájmů j. n.;S;[S] Ostatní činnosti
1668773;112;Společnost s r.o.;1;40;8690;[8690] Ostatní činnosti související se zdravotní péčí;Q;[Q] Zdravotní a sociální péče
1690248;706;Spolek;NULL;40;9499;[9499] Činnosti ost. organizací za účelem prosaz. spol.zájmů j. n.;S;[S] Ostatní činnosti
1717171;121;Akciová společnost;25;94;46730;[46730] VO se dřevem, stavebními materiály a sanitárním vybavením;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
1741454;112;Společnost s r.o.;NULL;9;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
1750461;101;Fyz. os. podnikající dle živ. zákona;0;40;14;[14] Výroba oděvů;C;[C] Zpracovatelský průmysl
1809776;932;Evropská společnost;1;22;4120;[4120] Výstavba bytových a nebytových budov;F;[F] Stavebnictví
1813901;112;Společnost s r.o.;1;64;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
1834576;112;Společnost s r.o.;NULL;53;70220;[70220] Ostatní poradenství v oblasti podnikání a řízení;M;[M] Profesní, vědecké a technické činnosti
1886584;101;Fyz. os. podnikající dle živ. zákona;10;77;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
2005425;112;Společnost s r.o.;NULL;8;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
2058405;112;Společnost s r.o.;NULL;22;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
2118939;112;Společnost s r.o.;10;72;7112;[7112] Inženýrské činnosti a související technické poradenství;M;[M] Profesní, vědecké a technické činnosti
2164931;112;Společnost s r.o.;NULL;47;46150;[46150] Zprostředkování VO, VO v zastoup. s nábytkem, potř. pro dom.;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2184117;112;Společnost s r.o.;6;95;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
2213214;932;Evropská společnost;1;79;431;[431] Demolice a příprava staveniště;F;[F] Stavebnictví
6772757;421;Odšt.záv.zahr.práv.os.;1;72;14;[14] Výroba oděvů;C;[C] Zpracovatelský průmysl
6840345;112;Společnost s r.o.;NULL;40;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
6858929;112;Společnost s r.o.;NULL;53;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
6871461;112;Společnost s r.o.;NULL;53;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
6903517;112;Společnost s r.o.;1;55;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
6934552;112;Společnost s r.o.;50;68;43210;[43210] Elektrické instalace;F;[F] Stavebnictví
6972373;112;Společnost s r.o.;NULL;22;68310;[68310] Zprostředkovatelské činnosti realitních agentur;L;[L] Činnosti v oblasti nemovitostí
6979459;112;Společnost s r.o.;NULL;38;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
6995969;112;Společnost s r.o.;20;81;52100;[52100] Skladování;H;[H] Doprava a skladování
6997341;101;Fyz. os. podnikající dle živ. zákona;0;22;55;[55] Ubytování;I;[I] Ubytování, stravování a pohostinství
6999662;101;Fyz. os. podnikající dle živ. zákona;0;22;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
7004559;121;Akciová společnost;NULL;22;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
7006063;112;Společnost s r.o.;1;76;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
7084030;121;Akciová společnost;1;50;64921;[64921] Poskytování úvěrů společnostmi, které nepřijímají vklady;K;[K] Peněžnictví a pojišťovnictví
7119526;112;Společnost s r.o.;NULL;34;68320;[68320] Správa nemovitostí na základě smlouvy nebo dohody;L;[L] Činnosti v oblasti nemovitostí
7198191;112;Společnost s r.o.;1;55;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
7201214;121;Akciová společnost;NULL;34;4120;[4120] Výstavba bytových a nebytových budov;F;[F] Stavebnictví
7215622;112;Společnost s r.o.;NULL;38;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
7259476;421;Odšt.záv.zahr.práv.os.;1;53;NULL;NULL;NULL;NULL
7265441;112;Společnost s r.o.;NULL;8;49393;[49393] Nepravidelná pozemní osobní doprava;H;[H] Doprava a skladování
7278543;112;Společnost s r.o.;6;72;471;[471] Maloobchod v nespecializovaných prodejnách;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
7317051;112;Společnost s r.o.;0;5;4644;[4644] VO s porcelán.,keram.,skleněn. výrobky, čisticími prostředky;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
7325207;112;Společnost s r.o.;NULL;80;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
7398492;112;Společnost s r.o.;NULL;46;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
7427204;112;Společnost s r.o.;NULL;9;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
7428006;101;Fyz. os. podnikající dle živ. zákona;1;34;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
7428006;101;Fyz. os. podnikající dle živ. zákona;1;34;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
7503008;112;Společnost s r.o.;NULL;58;711;[711] Architektonické,inženýrské činnosti,souv.technic.poradenství;M;[M] Profesní, vědecké a technické činnosti
7583028;424;Zahr.fyzická osoba;0;50;7490;[7490] Ostatní profesní, vědecké a technické činnosti j. n.;M;[M] Profesní, vědecké a technické činnosti
17039878;101;Fyz. os. podnikající dle živ. zákona;0;47;471;[471] Maloobchod v nespecializovaných prodejnách;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
22694391;706;Spolek;NULL;28;93110;[93110] Provozování sportovních zařízení;R;[R] Kulturní, zábavní a rekreační činnosti
22709401;706;Spolek;NULL;9;94120;[94120] Činnosti profesních organizací;S;[S] Ostatní činnosti
22748890;141;Obecně prospěšná spol.;20;76;8891;[8891] Sociální služby poskytované dětem;Q;[Q] Zdravotní a sociální péče
22763449;706;Spolek;NULL;40;94993;[94993] Činnosti organizací na podporu rekreační a zájmové činnosti;S;[S] Ostatní činnosti
22814655;141;Obecně prospěšná spol.;25;92;9499;[9499] Činnosti ost. organizací za účelem prosaz. spol.zájmů j. n.;S;[S] Ostatní činnosti
22834290;706;Spolek;NULL;47;94996;[94996] Činnosti organizací na ochranu etnických, menšinových skupin;S;[S] Ostatní činnosti
22900993;703;Odborová organizace a organizace zaměstnavatelů;NULL;28;94200;[94200] Činnosti odborových svazů;S;[S] Ostatní činnosti
26291100;112;Společnost s r.o.;1;94;702;[702] Poradenství v oblasti řízení;M;[M] Profesní, vědecké a technické činnosti
26298503;112;Společnost s r.o.;1;58;47;[47] Maloobchod, kromě motorových vozidel;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
26436396;121;Akciová společnost;NULL;38;620;[620] Činnosti v oblasti informačních technologií;J;[J] Informační a komunikační činnosti
26444437;112;Společnost s r.o.;6;5;7490;[7490] Ostatní profesní, vědecké a technické činnosti j. n.;M;[M] Profesní, vědecké a technické činnosti
26453444;112;Společnost s r.o.;1;89;52290;[52290] Ostatní vedlejší činnosti v dopravě;H;[H] Doprava a skladování
26456001;112;Společnost s r.o.;1;50;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
26457890;112;Společnost s r.o.;NULL;22;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
26458756;112;Společnost s r.o.;NULL;28;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
26458756;112;Společnost s r.o.;NULL;28;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
26462168;121;Akciová společnost;50;97;62010;[62010] Programování;J;[J] Informační a komunikační činnosti
26469839;121;Akciová společnost;NULL;34;731;[731] Reklamní činnosti;M;[M] Profesní, vědecké a technické činnosti
26499436;121;Akciová společnost;NULL;34;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
26510383;112;Společnost s r.o.;1;78;43210;[43210] Elektrické instalace;F;[F] Stavebnictví
26540665;706;Spolek;1;60;93110;[93110] Provozování sportovních zařízení;R;[R] Kulturní, zábavní a rekreační činnosti
26547783;706;Spolek;6;86;94120;[94120] Činnosti profesních organizací;S;[S] Ostatní činnosti
26708825;112;Společnost s r.o.;1;92;63110;[63110] Činnosti související se zpracováním dat a hostingem;J;[J] Informační a komunikační činnosti
26708825;112;Společnost s r.o.;1;92;63110;[63110] Činnosti související se zpracováním dat a hostingem;J;[J] Informační a komunikační činnosti
26720191;112;Společnost s r.o.;NULL;22;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
26720710;112;Společnost s r.o.;10;47;62090;[62090] Ostatní činnosti v oblasti informačních technologií;J;[J] Informační a komunikační činnosti
26749971;112;Společnost s r.o.;NULL;58;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
26752026;112;Společnost s r.o.;1;77;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
26761505;112;Společnost s r.o.;100;99;86230;[86230] Zubní péče;Q;[Q] Zdravotní a sociální péče
26781859;112;Společnost s r.o.;NULL;50;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
26837013;112;Společnost s r.o.;1;87;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
26859220;112;Společnost s r.o.;6;80;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
44840098;101;Fyz. os. podnikající dle živ. zákona;0;20;55;[55] Ubytování;I;[I] Ubytování, stravování a pohostinství
44870680;105;Fyz.osoba ost.;NULL;9;47730;[47730] Maloobchod s farmaceutickými přípravky;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
45280789;112;Společnost s r.o.;100;96;46430;[46430] Velkoobchod s elektrospotřebiči a elektronikou;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
45311005;112;Společnost s r.o.;10;99;71129;[71129] Ost. inženýrské činnosti, souv. technické poradenství j. n.;M;[M] Profesní, vědecké a technické činnosti
45316872;112;Společnost s r.o.;200;95;10520;[10520] Výroba zmrzliny;C;[C] Zpracovatelský průmysl
45503567;105;Fyz.osoba ost.;0;34;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
45758999;101;Fyz. os. podnikající dle živ. zákona;NULL;9;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
46161988;101;Fyz. os. podnikající dle živ. zákona;0;47;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
68414455;101;Fyz. os. podnikající dle živ. zákona;0;55;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
68584270;101;Fyz. os. podnikající dle živ. zákona;1;38;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
68799390;101;Fyz. os. podnikající dle živ. zákona;0;5;43120;[43120] Příprava staveniště;F;[F] Stavebnictví
69478503;101;Fyz. os. podnikající dle živ. zákona;0;8;93290;[93290] Ostatní zábavní a rekreační činnosti j. n.;R;[R] Kulturní, zábavní a rekreační činnosti
69501165;101;Fyz. os. podnikající dle živ. zákona;1;56;47911;[47911] Maloobchod prostřednictvím internetu;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
70050503;101;Fyz. os. podnikající dle živ. zákona;0;28;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
70086869;101;Fyz. os. podnikající dle živ. zákona;0;40;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
3936821;112;Společnost s r.o.;1;50;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
3976076;112;Společnost s r.o.;NULL;53;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
3998789;112;Společnost s r.o.;1;60;36;[36] Shromažďování, úprava a rozvod vody;E;"[E] Zásobování vodou; činnosti související s odpady a sanacemi"
4069251;112;Společnost s r.o.;100;56;73110;[73110] Činnosti reklamních agentur;M;[M] Profesní, vědecké a technické činnosti
4095804;112;Společnost s r.o.;NULL;9;70220;[70220] Ostatní poradenství v oblasti podnikání a řízení;M;[M] Profesní, vědecké a technické činnosti
4141881;121;Akciová společnost;NULL;71;29200;"[29200] Výroba karoserií motorových vozidel; výroba přívěsů a návěsů";C;[C] Zpracovatelský průmysl
4171799;112;Společnost s r.o.;10;81;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
4213777;112;Společnost s r.o.;1;38;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
4251849;112;Společnost s r.o.;1;81;6312;[6312] Činnosti související s webovými portály;J;[J] Informační a komunikační činnosti
4252870;112;Společnost s r.o.;1;56;181;[181] Tisk a činnosti související s tiskem;C;[C] Zpracovatelský průmysl
4265068;112;Společnost s r.o.;NULL;68;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
4279727;112;Společnost s r.o.;1;60;8559;[8559] Ostatní vzdělávání j. n.;P;[P] Vzdělávání
4326172;112;Společnost s r.o.;NULL;38;68202;[68202] Pronájem vlastních, pronajat.nemovitostí s nebyt. prostory;L;[L] Činnosti v oblasti nemovitostí
4470834;112;Společnost s r.o.;NULL;47;4791;[4791] Maloobchod prostřednictvím internetu nebo zásilkové služby;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
4592751;112;Společnost s r.o.;NULL;22;5229;[5229] Ostatní vedlejší činnosti v dopravě;H;[H] Doprava a skladování
4596510;112;Společnost s r.o.;NULL;22;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
4615913;112;Společnost s r.o.;1;80;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
