CompanyIN;LegalFormID;LegalFormName;EmployeeLowerBound;ActivityScore;NaceCode;Nace;NaceSectionCode;NaceSection
25804511;105;Fyz.osoba ost.;NULL;9;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
25805029;105;Fyz.osoba ost.;NULL;9;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
47007451;105;Fyz.osoba ost.;1;34;86230;[86230] Zubní péče;Q;[Q] Zdravotní a sociální péče
65408179;112;Společnost s r.o.;NULL;79;702;[702] Poradenství v oblasti řízení;M;[M] Profesní, vědecké a technické činnosti
65409922;112;Společnost s r.o.;NULL;4;58140;[58140] Vydávání časopisů a ostatních periodických publikací;J;[J] Informační a komunikační činnosti
65995805;706;Spolek;1;58;94996;[94996] Činnosti organizací na ochranu etnických, menšinových skupin;S;[S] Ostatní činnosti
66243424;105;Fyz.osoba ost.;6;60;70220;[70220] Ostatní poradenství v oblasti podnikání a řízení;M;[M] Profesní, vědecké a technické činnosti
66244978;105;Fyz.osoba ost.;NULL;22;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
66257921;105;Fyz.osoba ost.;1;50;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
71471359;105;Fyz.osoba ost.;NULL;28;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
71472720;105;Fyz.osoba ost.;0;47;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
71640355;101;Fyz. os. podnikající dle živ. zákona;0;40;952;[952] Opravy výrobků pro osobní potřebu a převážně pro domácnost;S;[S] Ostatní činnosti
71668985;101;Fyz. os. podnikající dle živ. zákona;1;56;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
71672125;105;Fyz.osoba ost.;0;28;74300;[74300] Překladatelské a tlumočnické činnosti;M;[M] Profesní, vědecké a technické činnosti
